Collections,Sales,Buyers,Txns,Owners
Axie Infinity,"$4,020,373,519","1,646,720","14,778,155","2,771,467"
CryptoPunks,"$2,085,560,656","5,241","20,317","3,502"
Bored Ape Yacht Club,"$1,387,210,003","9,579","24,737","6,360"
Art Blocks,"$1,201,760,843","26,988","144,876","31,419"
NBA Top Shot,"$938,641,261","419,670","17,390,776","669,041"
Mutant Ape Yacht Club,"$892,932,817","15,178","26,513","11,871"
CloneX,"$457,536,934","7,022","13,628",
Meebits,"$404,707,148","8,591","26,136",
Azuki,"$376,082,370","10,546","21,791",
The Sandbox,"$365,446,232","21,848","48,729","19,145"
Cool Cats,"$304,547,494","9,963","27,690",
Doodles,"$300,734,469","10,262","19,486","6,136"
Loot,"$278,079,458","3,974","11,164",
Sorare,"$249,095,372","74,372","1,560,698","101,009"
Parallel Alpha,"$214,496,945","19,049","92,584",
Bored Ape Kennel Club,"$209,019,210","7,822","18,085","5,431"
CrypToadz,"$207,004,477","7,698","17,907","3,924"
Farmers World,"$194,499,366","59,404","3,307,153","138,633"
CyberKongz,"$177,860,034","3,421","5,748","2,425"
World Of Women,"$176,195,549","8,690","22,037","5,130"
MekaVerse,"$172,526,037","6,010","12,206","5,034"
PUNKS Comic,"$164,622,586","4,283","10,941","3,554"
Solana Monkey Business,"$157,418,912","3,712","8,930","5,652"
Pudgy Penguins,"$156,588,096","11,809","30,756","4,628"
0N1 Force,"$155,978,225","8,192","18,392","4,315"
HAPE PRIME,"$145,846,188","5,311","8,552",
Bored Ape Chemistry Club,"$143,472,499","1,926","3,379",
Zed Run,"$140,335,128","62,263","253,034","57,342"
Crabada,"$138,670,095","4,764","65,214",
Veefriends,"$134,631,946","1,907","3,725","5,232"
Degenerate Ape Academy,"$126,117,570","6,896","19,096","5,171"
RTFKT CloneX Mintvial,"$121,946,380","2,677","5,727",1
Creature World NFT,"$116,119,610","11,590","24,166","6,235"
Curio Cards,"$115,454,638","7,252","22,281",1
Karafuru,"$110,614,283","7,949","12,254",
NFT Worlds,"$108,510,826","7,685","16,918","4,558"
Emblem Vault,"$105,543,573","4,789","17,743","5,332"
Fluf World,"$102,940,070","6,297","18,453","3,674"
Wolf Game,"$101,354,500","8,901","31,601","8,083"
PhantaBear,"$101,300,511","7,779","15,571","5,258"
Prime Ape Planet,"$101,240,129","8,023","14,469",
CyberKongz VX,"$99,240,327","7,667","19,435","4,528"
LOSTPOETS,"$98,882,367","8,365","23,672","5,827"
The n project,"$95,517,812","5,130","12,984","1,827"
The Doge Pound,"$94,159,574","7,749","15,192","5,643"
adidas Originals,"$92,451,742","20,416","28,601",1
Lazy Lions,"$90,002,365","10,681","25,548","5,101"
Vox Collectibles,"$87,316,944","6,665","17,567","3,413"
Hashmasks,"$86,619,657","5,913","18,970","5,229"
Kaiju Kingz,"$83,888,922","4,514","7,135","2,998"
Aurory,"$81,291,403","6,258","13,946","5,323"
Invisible Friends,"$80,109,486","6,643","8,161",
mfer,"$77,210,748","10,070","21,401",
DeadFellaz,"$76,961,288","11,611","23,734","6,163"
Cool Pets,"$74,776,672","13,644","18,580",
Sneaky Vampire Syndicate,"$73,127,762","6,547","15,033","4,781"
Sup Ducks,"$71,146,029","7,416","17,935","3,644"
Capsule,"$70,709,726","8,510","25,355",
Mooncats,"$69,751,277","8,220","22,985","6,361"
888 Inner Circle,"$69,004,174","6,314","14,181",1
ALIENFRENS,"$67,872,185","13,030","26,617",
SuperNormalbyZipcy,"$67,675,161","4,940","10,434",
Psychedelics Anonymous Genesis,"$66,862,068","13,361","21,008",
Adam Bomb Squad,"$65,379,205","12,783","33,771","8,693"
WebbLand,"$65,130,768","9,825","19,608",
Frontier Game,"$64,689,005","7,779","18,755",
Pixelmon,"$64,093,923","8,397","13,540",
Lives of Asuna,"$63,745,795","15,013","23,678",
CoolmansUniverse,"$62,122,906","10,848","23,243",
CryptoSkulls,"$61,827,744","8,977","20,717",
3Landers,"$60,990,918","6,827","14,266",
GalacticApes,"$60,521,830","7,852","20,370","3,717"
MutantCats,"$59,631,452","9,990","22,563","4,318"
Rumble Kong League,"$58,572,270","4,787","12,174","3,239"
CryptoPhunksV2,"$57,994,096","4,361","13,729",
Neo Tokyo Identities,"$55,915,620",819,"1,075","1,875"
Hero,"$54,941,459","5,937","9,034",
Anonymice,"$54,145,760","3,430","8,085",
V1 Cryptopunks Wrapped,"$53,750,288",662,"1,341",
FULL SEND METACARD,"$53,642,603","10,834","16,795",
Killer GF,"$53,217,452","6,872","14,402",
Galactic Gecko Space Garage,"$53,117,949","7,820","23,575","4,277"
Gutter Cat Gang,"$52,943,396","2,169","4,126",
HypeBears,"$50,748,859","17,149","24,764",
CryptoBatz by Ozzy Osbourne,"$50,603,960","10,802","14,836",
Lil Heroes,"$50,201,931","4,552","8,453",
Crypto Bull Society,"$49,410,860","5,949","10,724",
Shadowy Super Coder,"$49,188,091","2,554","6,586","1,058"
Galaxy Eggs,"$49,060,145","8,215","17,975","4,960"
Metroverse City Block,"$48,764,014","6,568","15,032",
CryptoKitties,"$47,749,869","115,127","794,623","114,142"
Robotos Official,"$47,656,019","11,161","23,246","5,700"
JRNY NFT Club,"$46,721,845","3,284","4,865","6,824"
MetaHero Universe Generative,"$46,391,770","1,509","2,370","3,035"
RTFKT MNLTH,"$46,223,139","2,300","3,253",1
CryptoMories,"$45,800,013","10,818","24,558","5,224"
Treeverse,"$45,339,086","5,433","11,831","3,795"
The Shiboshis,"$45,243,416","3,268","8,134","3,623"
Desperate ApeWives,"$44,923,292","5,426","13,078","4,562"
Autoglyphs,"$44,521,343",189,355,160
Chain Runners,"$44,435,780","4,747","10,935","3,323"
ApeKidsClub,"$43,203,795","9,658","20,854",
The Humanoids,"$43,040,421","9,653","21,424","4,885"
Koala Intelligence Agency,"$42,208,872","8,769","18,726","5,117"
The Sevens,"$42,167,979","5,833","11,067","3,723"
C-01 Official Collection,"$41,683,263","6,769","11,934",
OxyaOriginProject,"$40,725,591","5,776","12,405",
n,"$40,260,287","5,060","12,753",
Tubby Cats,"$40,066,479","19,760","33,472",
Peaceful Groupies,"$39,235,286","8,685","20,257","3,818"
Cryptovoxels,"$39,225,620","2,790","10,948","2,185"
Nanopass,"$39,067,059","8,230","11,252",
Alien Worlds,"$38,133,976","456,799","5,219,125","3,105,057"
inbetweeners,"$37,548,067","6,186","11,458",
Boss Beauties,"$37,456,761","8,949","17,784","5,481"
My Pet Hooligan,"$37,412,331","8,209","14,237",
The CryptoDads,"$37,369,703","7,943","15,530","7,507"
Pixel Vault Founders DAO,"$37,320,490","1,964","2,724",
TheHeartProject,"$36,754,806","10,835","22,123","5,926"
Forgotten Runes,"$36,440,685","4,409","13,643","2,849"
Farming Tales,"$36,234,893","9,653","158,362","5,337"
the littles NFT,"$35,888,488","8,413","16,390",
Blitmap,"$35,560,925",416,975,606
GEN.ART,"$35,452,223","4,343","7,945",
Bored Bunny,"$35,302,684","7,910","12,174",
GENART,"$35,266,427","3,985","7,313","2,410"
SolPunks,"$34,854,757","6,960","16,062","4,662"
Metasaurs by Dr. DMT,"$34,402,405","7,643","15,666","5,234"
Bloot,"$34,099,310","6,301","14,852","3,953"
Smilesss,"$33,872,801","8,663","16,036",
Animetas,"$32,313,734","6,904","18,753","4,166"
More Than Gamers,"$32,028,901","14,672","23,862",
MetaHero Universe DAO Tokens,"$31,787,598","6,451","16,515",1
Tom Sachs Rocket Factory,"$30,131,817",775,"2,663",265
